Date,Price,Open,High,Low,Vol.,Change %,Volume
9/30/2023,0.062072,0.062132,0.062675,0.061732,450.75M,-0.10%,450750000
9/29/2023,0.062132,0.061493,0.06235,0.06131,492.51M,1.03%,492510000
9/28/2023,0.061496,0.060515,0.061656,0.060367,564.83M,1.62%,564830000
9/27/2023,0.060515,0.060609,0.061378,0.06018,844.22M,-0.16%,844220000
9/26/2023,0.060609,0.060942,0.061124,0.059705,400.87M,-0.54%,400870000
9/25/2023,0.06094,0.060687,0.061221,0.060249,396.47M,0.41%,396470000
9/24/2023,0.06069,0.061516,0.061737,0.060537,434.05M,-1.34%,434050000
9/23/2023,0.061516,0.061525,0.061951,0.061289,469.12M,-0.01%,469120000
9/22/2023,0.061521,0.061311,0.061867,0.060821,725.47M,0.34%,725470000
9/21/2023,0.061311,0.062624,0.0634,0.061121,1.08B,-2.10%,1080000000
9/20/2023,0.062625,0.062687,0.063007,0.061755,953.06M,-0.10%,953060000
9/19/2023,0.062688,0.061987,0.063213,0.061902,1.05B,1.13%,1050000000
9/18/2023,0.061987,0.061476,0.062798,0.060992,1.03B,0.83%,1030000000
9/17/2023,0.061476,0.06213,0.062539,0.061065,627.17M,-1.05%,627170000
9/16/2023,0.062131,0.062498,0.062946,0.061771,548.81M,-0.59%,548810000
9/15/2023,0.062499,0.062093,0.062925,0.06139,642.87M,0.65%,642870000
9/14/2023,0.062093,0.061258,0.062432,0.061092,920.64M,1.36%,920640000
9/13/2023,0.061259,0.060882,0.061706,0.060504,932.90M,0.62%,932900000
9/12/2023,0.060882,0.060479,0.062297,0.060433,1.15B,0.66%,1150000000
9/11/2023,0.06048,0.06131,0.061975,0.059406,1.24B,-1.35%,1240000000
9/10/2023,0.06131,0.063377,0.063395,0.060468,1.03B,-3.26%,1030000000
9/9/2023,0.063377,0.063694,0.063893,0.063255,380.21M,-0.49%,380210000
9/8/2023,0.063691,0.063651,0.063973,0.062487,661.05M,0.06%,661050000
9/7/2023,0.063651,0.063641,0.063826,0.062796,737.47M,0.01%,737470000
9/6/2023,0.063641,0.064017,0.064598,0.062724,961.04M,-0.59%,961040000
9/5/2023,0.064019,0.063253,0.064327,0.062893,961.58M,1.21%,961580000
9/4/2023,0.063255,0.063148,0.063822,0.062274,713.59M,0.17%,713590000
9/3/2023,0.063148,0.063475,0.063763,0.062799,648.14M,-0.52%,648140000
9/2/2023,0.063475,0.063883,0.064772,0.06278,930.48M,-0.64%,930480000
9/1/2023,0.063886,0.063756,0.064206,0.062378,1.08B,0.20%,1080000000
8/31/2023,0.063756,0.065891,0.066981,0.062918,1.49B,-3.24%,1490000000
8/30/2023,0.065892,0.066401,0.066451,0.064517,1.14B,-0.78%,1140000000
8/29/2023,0.066413,0.063447,0.06826,0.062425,1.79B,4.68%,1790000000
8/28/2023,0.063447,0.063174,0.063635,0.062072,658.65M,0.43%,658650000
8/27/2023,0.063176,0.06289,0.063633,0.062702,548.70M,0.45%,548700000
8/26/2023,0.06289,0.063118,0.063367,0.062637,470.52M,-0.36%,470520000
8/25/2023,0.063118,0.063069,0.063141,0.061786,803.55M,0.07%,803550000
8/24/2023,0.063075,0.063797,0.064039,0.062053,897.94M,-1.13%,897940000
8/23/2023,0.063797,0.062566,0.064771,0.062468,1.28B,1.96%,1280000000
8/22/2023,0.062571,0.062511,0.063248,0.060545,1.21B,0.10%,1210000000
8/21/2023,0.062511,0.063837,0.064098,0.060543,1.16B,-2.08%,1160000000
8/20/2023,0.063837,0.063793,0.064686,0.063416,794.50M,0.07%,794500000
8/19/2023,0.063792,0.063251,0.064444,0.063105,934.53M,0.87%,934530000
8/18/2023,0.063239,0.060999,0.063817,0.060002,2.08B,3.62%,2080000000
8/17/2023,0.061029,0.067207,0.068393,0.056911,2.66B,-9.20%,2660000000
8/16/2023,0.067209,0.070933,0.071228,0.066133,1.62B,-5.25%,1620000000
8/15/2023,0.070933,0.074687,0.074962,0.069041,1.48B,-5.03%,1480000000
8/14/2023,0.074687,0.074782,0.076942,0.073785,1.32B,-0.15%,1320000000
8/13/2023,0.074799,0.076701,0.076869,0.074327,964.29M,-2.48%,964290000
8/12/2023,0.076701,0.075723,0.077334,0.075609,1.10B,1.30%,1100000000
8/11/2023,0.075716,0.075864,0.076096,0.075094,752.19M,-0.20%,752190000
8/10/2023,0.075868,0.075398,0.076902,0.075146,1.12B,0.62%,1120000000
8/9/2023,0.075398,0.074969,0.076159,0.07424,1.01B,0.57%,1010000000
8/8/2023,0.074973,0.073535,0.07547,0.073205,1.09B,1.95%,1090000000
8/7/2023,0.073537,0.074255,0.075659,0.071923,1.19B,-0.97%,1190000000
8/6/2023,0.074255,0.075704,0.076445,0.074166,1.17B,-1.91%,1170000000
8/5/2023,0.075703,0.073453,0.076885,0.072918,1.64B,3.06%,1640000000
8/4/2023,0.073453,0.073585,0.074882,0.072734,1.13B,-0.18%,1130000000
8/3/2023,0.073584,0.074217,0.07499,0.072809,1.24B,-0.85%,1240000000
8/2/2023,0.074214,0.078129,0.078277,0.073858,1.30B,-5.01%,1300000000
8/1/2023,0.078132,0.07783,0.078248,0.075771,1.27B,0.39%,1270000000
7/31/2023,0.077831,0.078021,0.079752,0.076846,1.24B,-0.24%,1240000000
7/30/2023,0.078021,0.080127,0.080492,0.076577,1.48B,-2.61%,1480000000
7/29/2023,0.080109,0.077179,0.081404,0.076893,1.67B,3.80%,1670000000
7/28/2023,0.077177,0.077616,0.077875,0.076086,1.28B,-0.57%,1280000000
7/27/2023,0.077616,0.077947,0.079824,0.076697,1.89B,-0.43%,1890000000
7/26/2023,0.077948,0.081852,0.082251,0.076873,3.22B,-4.76%,3220000000
7/25/2023,0.081847,0.0742,0.0837,0.073638,5.29B,10.31%,5290000000
7/24/2023,0.074199,0.071788,0.077514,0.070272,4.83B,3.36%,4830000000
7/23/2023,0.071785,0.07049,0.072896,0.070053,998.34M,1.85%,998340000
7/22/2023,0.070481,0.073225,0.073288,0.069806,1.27B,-3.63%,1270000000
7/21/2023,0.073136,0.070586,0.076687,0.070288,2.71B,3.62%,2710000000
7/20/2023,0.070578,0.070031,0.073822,0.069374,2.25B,0.78%,2250000000
7/19/2023,0.070033,0.068663,0.071396,0.068327,1.62B,1.99%,1620000000
7/18/2023,0.068665,0.069835,0.070309,0.067291,1.06B,-1.68%,1060000000
7/17/2023,0.069836,0.06953,0.073065,0.067964,1.84B,0.44%,1840000000
7/16/2023,0.06953,0.071951,0.072213,0.06907,1.50B,-3.36%,1500000000
7/15/2023,0.071951,0.068505,0.074861,0.067728,3.44B,5.01%,3440000000
7/14/2023,0.068517,0.070382,0.072979,0.066653,2.38B,-2.67%,2380000000
7/13/2023,0.070395,0.065031,0.071629,0.064585,2.24B,8.25%,2240000000
7/12/2023,0.065031,0.065271,0.065619,0.063864,527.94M,-0.36%,527940000
7/11/2023,0.065269,0.065233,0.065483,0.064427,502.95M,0.06%,502950000
7/10/2023,0.065233,0.065362,0.066148,0.063728,960.79M,-0.20%,960790000
7/9/2023,0.065364,0.065734,0.06635,0.065203,447.70M,-0.56%,447700000
7/8/2023,0.065734,0.065405,0.066072,0.064763,484.92M,0.50%,484920000
7/7/2023,0.065405,0.064882,0.065855,0.064212,693.76M,0.81%,693760000
7/6/2023,0.06488,0.06701,0.068518,0.064748,982.49M,-3.18%,982490000
7/5/2023,0.067013,0.068913,0.069215,0.065656,965.54M,-2.76%,965540000
7/4/2023,0.068913,0.068441,0.071739,0.067817,1.67B,0.73%,1670000000
7/3/2023,0.068413,0.067975,0.068782,0.067339,883.99M,0.64%,883990000
7/2/2023,0.067975,0.068503,0.068978,0.06607,1.31B,-0.77%,1310000000
7/1/2023,0.068503,0.066492,0.071131,0.066403,2.02B,2.96%,2020000000
6/30/2023,0.066535,0.063421,0.066839,0.062026,1.98B,4.91%,1980000000
6/29/2023,0.063421,0.06255,0.064079,0.062441,744.75M,1.40%,744750000
6/28/2023,0.062547,0.06556,0.065892,0.060681,1.10B,-4.60%,1100000000
6/27/2023,0.06556,0.064757,0.065756,0.064483,857.15M,1.22%,857150000
